Category;FullScientificName;ScientificName;FrenchName;Rarete
A;Larus michahellis Naumann, JF, 1840;Larus michahellis;Goéland leucophée;Commun
A;Larus marinus Linnaeus, 1758;Larus marinus;Goéland marin;Commun
A;Larus hyperboreus Gunnerus, 1767;Larus hyperboreus;Goéland bourgmestre;Rare
A;Larus fuscus Linnaeus, 1758;Larus fuscus;Goéland brun;Commun
A;Larus smithsonianus Coues, 1862;Larus smithsonianus;Goéland d'Amérique;Epique
A;Larus glaucoides Meyer, B, 1822;Larus glaucoides;Goéland à ailes blanches;Rare
A;Stercorarius longicaudus Vieillot, 1819;Stercorarius longicaudus;Labbe à longue queue;Rare
A;Stercorarius parasiticus (Linnaeus, 1758);Stercorarius parasiticus;Labbe parasite;Rare
A;Stercorarius pomarinus (Temminck, 1815);Stercorarius pomarinus;Labbe pomarin;Rare
A;Stercorarius skua (Brünnich, 1764);Stercorarius skua;Grand Labbe;Rare
A;Stercorarius maccormicki Saunders, 1893;Stercorarius maccormicki;Labbe de McCormick;Legendaire
A;Fratercula arctica (Linnaeus, 1758);Fratercula arctica;Macareux moine;Rare
A;Cepphus grylle (Linnaeus, 1758);Cepphus grylle;Guillemot à miroir;Legendaire
A;Alca torda Linnaeus, 1758;Alca torda;Pingouin torda;Rare
A;Alle alle (Linnaeus, 1758);Alle alle;Mergule nain;Epique
A;Uria lomvia (Linnaeus, 1758);Uria lomvia;Guillemot de Brünnich;Legendaire
A;Uria aalge (Pontoppidan, 1763);Uria aalge;Guillemot de Troïl;Rare
A;Gavia stellata (Pontoppidan, 1763);Gavia stellata;Plongeon catmarin;Commun
A;Gavia arctica (Linnaeus, 1758);Gavia arctica;Plongeon arctique;Commun
A;Gavia immer (Brünnich, 1764);Gavia immer;Plongeon imbrin;Rare
A;Gavia adamsii (Gray, GR, 1859);Gavia adamsii;Plongeon à bec blanc;Rare
A;Oceanites oceanicus (Kühl, 1820);Oceanites oceanicus;Océanite de Wilson;Rare
A;Thalassarche melanophris (Temminck, 1828);Thalassarche melanophris;Albatros à sourcils noirs;Legendaire
A;Thalassarche chlororhynchos (Gmelin, JF, 1789);Thalassarche chlororhynchos;Albatros à bec jaune;Legendaire
A;Hydrobates pelagicus (Linnaeus, 1758);Hydrobates pelagicus;Océanite tempête;Rare
A;Hydrobates monorhis (Swinhoe, 1867);Hydrobates monorhis;Océanite de Swinhoe;Legendaire
A;Hydrobates leucorhous (Vieillot, 1818);Hydrobates leucorhous;Océanite culblanc;Rare
